obj_id,type,category,redshift,ztfg_peak_time,ztfg_peak_mag,ztfr_peak_time,ztfr_peak_mag,ztfi_peak_time,ztfi_peak_mag,ztfg_peak_gr_color,ztfg_peak_gi_color,ztfr_peak_gr_color,ztfr_peak_ri_color,ztfi_peak_gi_color,ztfi_peak_ri_color,ztfg_fwhm,ztfr_fwhm,ztfi_fwhm,ztfg_rise_hwhm,ztfr_rise_hwhm,ztfi_rise_hwhm,ztfg_fade_hwhm,ztfr_fade_hwhm,ztfi_fade_hwhm,ztfg_rise_duration,ztfg_rise_rate,ztfr_rise_duration,ztfr_rise_rate,ztfi_rise_duration,ztfi_rise_rate,ztfg_fade_duration,ztfg_fade_rate,ztfr_fade_duration,ztfr_fade_rate,ztfi_fade_duration,ztfi_fade_rate
ZTF18aakuewf,Ibn,Misc SNe,0.0636,3.89849085223724,-19.662041384932543,4.198374763947797,-19.5457096654696,,,-0.12385134636350159,,-0.1138527637243989,,,,9.396362566930783,9.096478655220226,,3.5486262885749236,3.448664984671405,,5.84773627835586,5.647813670548821,,3.89849085223724,-0.22409313991640592,4.198374763947797,-0.2633794369472545,,,1.9992260780703792,0.04984657906772851,1.9992260780703797,0.09106060379223076,,
ZTF18aalrxas,IIb,IIb,0.0582,1.9613636796874507,-18.24109666375656,2.059431863671823,-17.955813395500616,,,-0.2859455206499071,,-0.2817629770339032,,,,4.560170555273323,6.619602418945146,,1.9613636796874507,2.059431863671823,,2.598806875585872,4.560170555273323,,1.9613636796874507,-0.34791680445038514,2.059431863671823,-0.2554729998662343,,,1.9613636796874507,0.2696594879929781,1.9613636796874507,0.13635264977052275,,
ZTF18abffyqp,II,Misc SNe,0.031,0.9508714856872628,-17.541599855522456,2.5022933833875336,-17.327431006408716,,,-0.266512308579113,,-0.1423506382607087,,,,6.606054532143089,9.959127665882384,,0.9508714856872628,2.5022933833875336,,5.655183046455826,7.456834282494851,,0.9508714856872628,-0.02205489001253543,2.5022933833875336,-0.051043210803841436,,,1.9517888390422775,0.05726449937058187,1.9517888390422766,0.04166787161535819,,
ZTF18abvkmgw,Ib,Misc SNe,0.03847,4.277578397454961,-17.38239763256,4.730358283536544,-17.38978365239405,,,-0.0030310845922798535,,0.018309410386692093,,,,9.794343851554254,10.47351368067663,,3.0145608204905434,3.3005270643315434,,6.779783031063711,7.172986616345087,,4.277578397454961,-0.3758304430614275,4.730358283536544,-0.33962810925407644,,,1.9898484467269597,0.07406191412782215,1.9898484467269597,0.04233873801671388,,
ZTF18abwkrbl,IIb,IIb,0.00999,2.837925589981827,-17.291909265811654,3.6208016148044,-17.221934228603814,,,-0.09253446271685561,,-0.041933898793132585,,,,7.4373222358144435,9.883809813384985,,2.1529090682620757,2.837925589981827,,5.284413167552367,7.045884223403158,,2.837925589981827,-0.68206098117759,3.6208016148044,-0.48552683863411494,,,1.9571900620564326,0.07334648158461551,1.957190062056433,0.05901772893515858,,
ZTF19aanbpus,IIb,IIb,0.009969,0.0,-16.922119314925595,0.0,-17.06280371878099,,,0.1406844038553956,,0.1406844038553956,,,,22.87498644925654,23.56221780180931,,,,,11.43749322462827,11.781108900904655,,,,,,,,1.963518150150776,0.029837674260517356,1.963518150150776,0.028096712071374486,,
ZTF19aapfmki,Ibn,Misc SNe,0.05469,3.675950038036587,-19.55595773084508,3.9943394114098334,-19.397392011285586,,,-0.16030221892545526,,-0.15624101632762333,,,,12.330352096091229,12.619796980975998,,3.675950038036587,3.9943394114098334,,8.654402058054641,8.625457569566166,,3.675950038036587,-0.0870826598080773,3.9943394114098334,-0.0639153740121381,,,1.9971697057049167,0.037415814104237236,1.997169705704918,0.028038789971701807,,
ZTF19aatesgp,Ib,Misc SNe,0.0043,9.908106861191357,-14.125027668484773,5.5045038117729765,-15.64761875152928,6.104995136693665,-16.05789623657003,1.2317742375803782,1.836825352724949,2.0169786541701544,0.4061608611638263,2.2682467637199473,0.4191108976169886,7.055773067818087,10.358475354881874,11.959785554670376,5.0040943743390685,3.9031936119844746,6.104995136693665,2.051678693479019,6.455281742897399,5.8547904179767105,6.60540457412757,-0.6616467981368527,5.5045038117729765,-0.3690389452656837,6.104995136693665,-0.09947609482862377,,,,,,
ZTF19abacxod,II,Misc SNe,0.01765,0.0,-16.14862279864714,0.0,-16.01050379716901,0.0,-15.932947216977407,-0.1381190014781275,-0.215675581669732,-0.1381190014781275,-0.0775565801916045,-0.215675581669732,-0.0775565801916045,6.863811597220592,11.93367243607671,11.93367243607671,,,,3.431905798610296,5.966836218038355,5.966836218038355,,,,,,,1.9889454060127847,0.18687240163892688,1.9889454060127847,0.08583471272655831,1.9889454060127847,0.061784950705117025
ZTF19abxjrge,IIb,IIb,0.021705,0.0,-15.598641829069727,0.0,-15.78596681308412,,,0.18732498401439202,,0.18732498401439202,,,,5.905847118552159,5.905847118552159,,,,,2.9529235592760794,2.9529235592760794,,,,,,,,1.9519325222333408,0.230794284635644,1.9519325222333408,0.29619573739506777,,
ZTF19abxtcio,IIb,IIb,0.0155,13.86842419369588,-15.536432055185584,15.104224369371751,-16.048741242296092,,,0.500658068463407,,0.5281538760208928,,,,22.33594391591944,19.818573187690816,,13.86842419369588,9.932171782283849,,8.46751972222356,9.88640140540697,,13.86842419369588,-0.03646496739680276,15.104224369371751,-0.0714136343973599,,,1.9681262057060156,0.020454061237959887,1.9681262057060156,0.016828766455238064,,
