"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","snr","magsys","flux","instrument_id","fluxerr"
782134227,61055.39346060017,20.802999893604294,0.3583450019359588,20.259132304024682,ztfg,ZTF,3.0298628385841564,ab,17.33005905151367,1,5.7197503566240435
784968177,61056.24170139991,21.33446488261704,0.14487243083768592,21.2789,ztfg,ZTF,7.494429398886672,ab,10.622189548469393,1,1.417344668034015
782134228,61056.24170139991,21.271006052496404,0.19474692642688748,21.3892153111098,ztfg,ZTF,5.575113428892752,ab,11.261534690856921,1,2.019965124385554
784968178,61056.31038190005,20.87372378910536,0.2297135560481898,20.3151,ztfr,ZTF,4.726478591147496,ab,16.237175483793987,1,3.435364229556771
784968179,61056.3562384001,,,20.085,ztfg,ZTF,,ab,,1,33.5737614242954
784968180,61057.20813659998,,,17.3257,ztfg,ZTF,,ab,,1,426.30458146097095
784968181,61057.40856479993,,,19.8763,ztfg,ZTF,,ab,,1,40.689279527203155
784968182,61058.20462960005,,,19.3043,ztfg,ZTF,,ab,,1,68.90964300439884
784968183,61058.37826390006,,,20.2977,ztfg,ZTF,,ab,,1,27.600693858200554
784968184,61059.20229170006,,,19.8726,ztfg,ZTF,,ab,,1,40.82817804592473
784968185,61059.3914005002,21.73950828534362,0.35435897265109767,20.745,ztfg,ZTF,3.0639444420873936,ab,7.314702810826445,1,2.3873483834592997
784968186,61060.30608800007,20.93606943003829,0.2459489451209661,20.2878,ztfr,ZTF,4.414477989422265,ab,15.331061577038433,1,3.4729047497289374
784968187,61060.35240740003,,,20.5787,ztfg,ZTF,,ab,,1,21.306886871235918
784968188,61061.196909700055,,,19.9039,ztfg,ZTF,,ab,,1,39.667972181695106
784968189,61061.338379600085,,,19.838,ztfr,ZTF,,ab,,1,42.15023497210435
